Designation,count,mean,std,min,25%,50%,75%,max
Lajes do Pico,22.0,626.59,191.17,354.0,483.5,602.0,733.25,997.0
Lamego,22.0,703.09,59.25,607.0,642.75,730.5,748.5,778.0
Leiria,22.0,1216.59,194.35,955.0,1036.25,1195.0,1404.0,1546.0
Lisboa,22.0,3786.41,384.85,3286.0,3414.25,3744.5,4163.0,4412.0
Loulé,22.0,2803.05,428.79,2170.0,2358.0,2883.5,3242.25,3401.0
Loures,22.0,2125.64,332.24,1641.0,1837.0,2089.0,2433.75,2707.0
Lourinhã,22.0,1266.09,236.58,934.0,1120.5,1219.0,1438.5,1692.0
Lousada,22.0,885.23,138.66,691.0,775.0,857.5,989.0,1143.0
Lousã,22.0,795.82,120.01,625.0,708.0,807.0,854.25,1065.0
Macedo de Cavaleiros,22.0,565.5,47.13,464.0,528.5,575.5,594.75,684.0
Machico,22.0,1219.32,289.0,931.0,997.0,1156.0,1276.5,1956.0
Madalena,22.0,760.86,217.52,500.0,657.0,707.0,756.75,1226.0
Mafra,22.0,1904.77,358.74,1354.0,1603.5,1913.5,2192.75,2493.0
Maia,22.0,1567.59,289.08,1163.0,1333.0,1540.5,1793.0,2125.0
Mangualde,22.0,549.09,26.1,514.0,529.75,547.0,558.75,607.0
Manteigas,22.0,537.19,235.55,329.0,366.25,389.5,767.21,993.12
Marco de Canaveses,22.0,830.73,102.79,686.0,750.0,824.5,916.75,1018.0
Marinha Grande,22.0,952.41,165.75,741.0,799.25,925.5,1122.0,1248.0
Marvão,22.0,459.41,81.92,286.0,404.0,448.5,531.25,607.0
Matosinhos,22.0,2050.73,402.99,1480.0,1699.25,1986.5,2469.75,2663.0
Mação,22.0,276.55,32.05,230.0,254.5,273.0,295.0,333.0
Mealhada,22.0,810.55,83.62,694.0,749.75,798.0,863.75,984.0
Melgaço,22.0,414.32,60.35,332.0,382.75,400.0,425.0,554.0
Mesão Frio,22.0,663.19,216.03,401.0,494.75,559.5,805.96,1065.66
