municipality,quarter_year,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm
Setúbal,4Q 2022,618.3745027777778,6.721461986714976,13.330434782608696,391.4,4.254347826086956
Setúbal,4Q 2023,639.5290444444445,6.951402657004832,11.47717391304348,243.6,2.6478260869565218
Setúbal,4Q 2024,725.4838083333333,7.885693568840579,12.06413043478261,182.3,1.981521739130435
Sever do Vouga,1Q 2020,659.4090805555555,7.246253632478632,11.006593406593407,471.9,5.185714285714285
Sever do Vouga,1Q 2021,644.9431833333333,7.16603537037037,11.886666666666667,713.6,7.928888888888889
Sever do Vouga,1Q 2022,695.0191638888889,7.722435154320988,11.48111111111111,234.7,2.6077777777777778
Sever do Vouga,1Q 2023,689.4844166666667,7.660937962962963,11.817777777777776,479.4,5.326666666666666
Sever do Vouga,1Q 2024,600.2530138888889,6.596186965811966,11.96043956043956,997.5,10.961538461538462
Sever do Vouga,1Q 2025,589.1426583333333,6.546029537037037,11.807777777777778,822.9,9.143333333333333
Sever do Vouga,2Q 2020,991.6465555555556,10.897214896214896,10.05934065934066,408.3,4.486813186813187
Sever do Vouga,2Q 2021,1018.1016638888889,11.187930372405372,9.789010989010988,340.2,3.7384615384615385
Sever do Vouga,2Q 2022,1003.4696027777778,11.027138492063493,10.653846153846153,307.5,3.379120879120879
Sever do Vouga,2Q 2023,1028.166736111111,11.298535561660561,10.161538461538463,364.4,4.004395604395604
Sever do Vouga,2Q 2024,989.0108166666666,10.868250732600732,10.93956043956044,345.0,3.791208791208791
Sever do Vouga,3Q 2020,1081.7852611111111,11.758535446859904,9.67608695652174,108.89999999999999,1.183695652173913
Sever do Vouga,3Q 2021,1051.4652944444445,11.42897059178744,9.393478260869566,159.9,1.7380434782608696
Sever do Vouga,3Q 2022,1074.5423666666666,11.679808333333332,9.507608695652175,154.29999999999998,1.6771739130434782
Sever do Vouga,3Q 2023,1057.0098138888889,11.489237107487922,10.064130434782609,193.0,2.097826086956522
Sever do Vouga,3Q 2024,1057.3869166666666,11.493336050724636,9.934782608695652,150.9,1.6402173913043478
Sever do Vouga,4Q 2019,537.6959666666667,5.844521376811594,12.041304347826086,1291.2,14.034782608695652
Sever do Vouga,4Q 2020,616.9636027777777,6.706126117149758,11.434782608695652,704.5,7.657608695652174
Sever do Vouga,4Q 2021,660.3654416666667,7.177885235507246,11.549999999999999,445.9,4.846739130434782
Sever do Vouga,4Q 2022,482.91023333333334,5.249024275362319,12.27608695652174,1216.5,13.222826086956522
Sever do Vouga,4Q 2023,549.9963583333333,5.978221286231884,10.756521739130434,973.9,10.585869565217392
Sever do Vouga,4Q 2024,624.420575,6.7871801630434785,11.029347826086957,518.6,5.636956521739131
Silves,1Q 2020,781.2561361111111,8.585232264957265,11.51978021978022,110.1,1.2098901098901098
Silves,1Q 2021,720.6745555555556,8.007495061728395,12.806666666666665,179.9,1.998888888888889
Silves,1Q 2022,772.8182055555556,8.586868950617284,12.50111111111111,140.70000000000002,1.5633333333333335
Silves,1Q 2023,784.8141055555556,8.720156728395061,12.482222222222223,67.1,0.7455555555555555
Silves,1Q 2024,727.3186611111112,7.99251275946276,12.53956043956044,293.7,3.2274725274725276
Silves,1Q 2025,713.3246444444444,7.925829382716049,11.12888888888889,464.0,5.155555555555556
Silves,2Q 2020,1047.0416611111111,11.50595231990232,13.482417582417584,170.4,1.8725274725274725
Silves,2Q 2021,1088.3421027777779,11.959803327228329,14.67142857142857,87.2,0.9582417582417583
